survey_year,muni_code,muni_name_en,muni_name_ja,population
1980,1100,Hokkaido Sapporo-shi,北海道 札幌市,1401757
1985,1100,Hokkaido Sapporo-shi,北海道 札幌市,1542979
1990,1100,Hokkaido Sapporo-shi,北海道 札幌市,1671742
1995,1100,Hokkaido Sapporo-shi,北海道 札幌市,1757025
2000,1100,Hokkaido Sapporo-shi,北海道 札幌市,1822368
2005,1100,Hokkaido Sapporo-shi,北海道 札幌市,1880863
2010,1100,Hokkaido Sapporo-shi,北海道 札幌市,1913545
2015,1100,Hokkaido Sapporo-shi,北海道 札幌市,1952356
2020,1100,Hokkaido Sapporo-shi,北海道 札幌市,1973395
1980,1101,Hokkaido Sapporo-shi Chuo-ku,北海道 札幌市 中央区,181806
1985,1101,Hokkaido Sapporo-shi Chuo-ku,北海道 札幌市 中央区,180845
1990,1101,Hokkaido Sapporo-shi Chuo-ku,北海道 札幌市 中央区,179184
1995,1101,Hokkaido Sapporo-shi Chuo-ku,北海道 札幌市 中央区,173358
2000,1101,Hokkaido Sapporo-shi Chuo-ku,北海道 札幌市 中央区,181383
2005,1101,Hokkaido Sapporo-shi Chuo-ku,北海道 札幌市 中央区,202801
2010,1101,Hokkaido Sapporo-shi Chuo-ku,北海道 札幌市 中央区,220189
2015,1101,Hokkaido Sapporo-shi Chuo-ku,北海道 札幌市 中央区,237627
2020,1101,Hokkaido Sapporo-shi Chuo-ku,北海道 札幌市 中央区,248680
1980,1102,Hokkaido Sapporo-shi Kita-ku,北海道 札幌市 北区,195370
1985,1102,Hokkaido Sapporo-shi Kita-ku,北海道 札幌市 北区,212508
1990,1102,Hokkaido Sapporo-shi Kita-ku,北海道 札幌市 北区,230918
1995,1102,Hokkaido Sapporo-shi Kita-ku,北海道 札幌市 北区,251419
2000,1102,Hokkaido Sapporo-shi Kita-ku,北海道 札幌市 北区,260114
2005,1102,Hokkaido Sapporo-shi Kita-ku,北海道 札幌市 北区,272877
2010,1102,Hokkaido Sapporo-shi Kita-ku,北海道 札幌市 北区,278781
2015,1102,Hokkaido Sapporo-shi Kita-ku,北海道 札幌市 北区,285321
2020,1102,Hokkaido Sapporo-shi Kita-ku,北海道 札幌市 北区,289323
1980,1103,Hokkaido Sapporo-shi Higashi-ku,北海道 札幌市 東区,213310
1985,1103,Hokkaido Sapporo-shi Higashi-ku,北海道 札幌市 東区,224539
1990,1103,Hokkaido Sapporo-shi Higashi-ku,北海道 札幌市 東区,232999
1995,1103,Hokkaido Sapporo-shi Higashi-ku,北海道 札幌市 東区,241319
2000,1103,Hokkaido Sapporo-shi Higashi-ku,北海道 札幌市 東区,248950
2005,1103,Hokkaido Sapporo-shi Higashi-ku,北海道 札幌市 東区,253996
2010,1103,Hokkaido Sapporo-shi Higashi-ku,北海道 札幌市 東区,255873
2015,1103,Hokkaido Sapporo-shi Higashi-ku,北海道 札幌市 東区,261912
2020,1103,Hokkaido Sapporo-shi Higashi-ku,北海道 札幌市 東区,265379
1980,1104,Hokkaido Sapporo-shi Shiroishi-ku,北海道 札幌市 白石区,228061
1985,1104,Hokkaido Sapporo-shi Shiroishi-ku,北海道 札幌市 白石区,263938
1990,1104,Hokkaido Sapporo-shi Shiroishi-ku,北海道 札幌市 白石区,188043
1995,1104,Hokkaido Sapporo-shi Shiroishi-ku,北海道 札幌市 白石区,192102
2000,1104,Hokkaido Sapporo-shi Shiroishi-ku,北海道 札幌市 白石区,197223
2005,1104,Hokkaido Sapporo-shi Shiroishi-ku,北海道 札幌市 白石区,201307
2010,1104,Hokkaido Sapporo-shi Shiroishi-ku,北海道 札幌市 白石区,204259
2015,1104,Hokkaido Sapporo-shi Shiroishi-ku,北海道 札幌市 白石区,209584
2020,1104,Hokkaido Sapporo-shi Shiroishi-ku,北海道 札幌市 白石区,211835
1980,1105,Hokkaido Sapporo-shi Toyohira-ku,北海道 札幌市 豊平区,218330
1985,1105,Hokkaido Sapporo-shi Toyohira-ku,北海道 札幌市 豊平区,249956
1990,1105,Hokkaido Sapporo-shi Toyohira-ku,北海道 札幌市 豊平区,277801
1995,1105,Hokkaido Sapporo-shi Toyohira-ku,北海道 札幌市 豊平区,296647
2000,1105,Hokkaido Sapporo-shi Toyohira-ku,北海道 札幌市 豊平区,204700
2005,1105,Hokkaido Sapporo-shi Toyohira-ku,北海道 札幌市 豊平区,209428
2010,1105,Hokkaido Sapporo-shi Toyohira-ku,北海道 札幌市 豊平区,212118
2015,1105,Hokkaido Sapporo-shi Toyohira-ku,北海道 札幌市 豊平区,218652
2020,1105,Hokkaido Sapporo-shi Toyohira-ku,北海道 札幌市 豊平区,225298
1980,1106,Hokkaido Sapporo-shi Minami-ku,北海道 札幌市 南区,128845
1985,1106,Hokkaido Sapporo-shi Minami-ku,北海道 札幌市 南区,141743
1990,1106,Hokkaido Sapporo-shi Minami-ku,北海道 札幌市 南区,148393
1995,1106,Hokkaido Sapporo-shi Minami-ku,北海道 札幌市 南区,155650
2000,1106,Hokkaido Sapporo-shi Minami-ku,北海道 札幌市 南区,156787
2005,1106,Hokkaido Sapporo-shi Minami-ku,北海道 札幌市 南区,153021
2010,1106,Hokkaido Sapporo-shi Minami-ku,北海道 札幌市 南区,146341
2015,1106,Hokkaido Sapporo-shi Minami-ku,北海道 札幌市 南区,141190
2020,1106,Hokkaido Sapporo-shi Minami-ku,北海道 札幌市 南区,135777
1980,1107,Hokkaido Sapporo-shi Nishi-ku,北海道 札幌市 西区,236035
1985,1107,Hokkaido Sapporo-shi Nishi-ku,北海道 札幌市 西区,269450
1990,1107,Hokkaido Sapporo-shi Nishi-ku,北海道 札幌市 西区,190807
1995,1107,Hokkaido Sapporo-shi Nishi-ku,北海道 札幌市 西区,194308
2000,1107,Hokkaido Sapporo-shi Nishi-ku,北海道 札幌市 西区,199385
2005,1107,Hokkaido Sapporo-shi Nishi-ku,北海道 札幌市 西区,207329
2010,1107,Hokkaido Sapporo-shi Nishi-ku,北海道 札幌市 西区,211229
2015,1107,Hokkaido Sapporo-shi Nishi-ku,北海道 札幌市 西区,213578
2020,1107,Hokkaido Sapporo-shi Nishi-ku,北海道 札幌市 西区,217040
1990,1108,Hokkaido Sapporo-shi Atsubetsu-ku,北海道 札幌市 厚別区,112623
1995,1108,Hokkaido Sapporo-shi Atsubetsu-ku,北海道 札幌市 厚別区,122738
2000,1108,Hokkaido Sapporo-shi Atsubetsu-ku,北海道 札幌市 厚別区,127718
2005,1108,Hokkaido Sapporo-shi Atsubetsu-ku,北海道 札幌市 厚別区,129720
2010,1108,Hokkaido Sapporo-shi Atsubetsu-ku,北海道 札幌市 厚別区,128492
2015,1108,Hokkaido Sapporo-shi Atsubetsu-ku,北海道 札幌市 厚別区,127767
2020,1108,Hokkaido Sapporo-shi Atsubetsu-ku,北海道 札幌市 厚別区,125083
1990,1109,Hokkaido Sapporo-shi Teine-ku,北海道 札幌市 手稲区,110974
1995,1109,Hokkaido Sapporo-shi Teine-ku,北海道 札幌市 手稲区,129484
2000,1109,Hokkaido Sapporo-shi Teine-ku,北海道 札幌市 手稲区,136006
2005,1109,Hokkaido Sapporo-shi Teine-ku,北海道 札幌市 手稲区,137601
2010,1109,Hokkaido Sapporo-shi Teine-ku,北海道 札幌市 手稲区,139644
2015,1109,Hokkaido Sapporo-shi Teine-ku,北海道 札幌市 手稲区,140999
2020,1109,Hokkaido Sapporo-shi Teine-ku,北海道 札幌市 手稲区,142625
2000,1110,Hokkaido Sapporo-shi Kiyota-ku,北海道 札幌市 清田区,110102
2005,1110,Hokkaido Sapporo-shi Kiyota-ku,北海道 札幌市 清田区,112783
2010,1110,Hokkaido Sapporo-shi Kiyota-ku,北海道 札幌市 清田区,116619
2015,1110,Hokkaido Sapporo-shi Kiyota-ku,北海道 札幌市 清田区,115726
2020,1110,Hokkaido Sapporo-shi Kiyota-ku,北海道 札幌市 清田区,112355
1980,1202,Hokkaido Hakodate-shi,北海道 函館市,320154
1985,1202,Hokkaido Hakodate-shi,北海道 函館市,319194
1990,1202,Hokkaido Hakodate-shi,北海道 函館市,307249
1995,1202,Hokkaido Hakodate-shi,北海道 函館市,298881
2000,1202,Hokkaido Hakodate-shi,北海道 函館市,287637
2005,1202,Hokkaido Hakodate-shi,北海道 函館市,294264
2010,1202,Hokkaido Hakodate-shi,北海道 函館市,279127
2015,1202,Hokkaido Hakodate-shi,北海道 函館市,265979
2020,1202,Hokkaido Hakodate-shi,北海道 函館市,251084
1980,1203,Hokkaido Otaru-shi,北海道 小樽市,180728
1985,1203,Hokkaido Otaru-shi,北海道 小樽市,172486
1990,1203,Hokkaido Otaru-shi,北海道 小樽市,163211
1995,1203,Hokkaido Otaru-shi,北海道 小樽市,157022
2000,1203,Hokkaido Otaru-shi,北海道 小樽市,150687
2005,1203,Hokkaido Otaru-shi,北海道 小樽市,142161
2010,1203,Hokkaido Otaru-shi,北海道 小樽市,131928
2015,1203,Hokkaido Otaru-shi,北海道 小樽市,121924
2020,1203,Hokkaido Otaru-shi,北海道 小樽市,111299
1980,1204,Hokkaido Asahikawa-shi,北海道 旭川市,352619
1985,1204,Hokkaido Asahikawa-shi,北海道 旭川市,363631
1990,1204,Hokkaido Asahikawa-shi,北海道 旭川市,359071
1995,1204,Hokkaido Asahikawa-shi,北海道 旭川市,360568
2000,1204,Hokkaido Asahikawa-shi,北海道 旭川市,359536
2005,1204,Hokkaido Asahikawa-shi,北海道 旭川市,355004
2010,1204,Hokkaido Asahikawa-shi,北海道 旭川市,347095
2015,1204,Hokkaido Asahikawa-shi,北海道 旭川市,339605
2020,1204,Hokkaido Asahikawa-shi,北海道 旭川市,329306
1980,1205,Hokkaido Muroran-shi,北海道 室蘭市,150199
1985,1205,Hokkaido Muroran-shi,北海道 室蘭市,136208
1990,1205,Hokkaido Muroran-shi,北海道 室蘭市,117855
1995,1205,Hokkaido Muroran-shi,北海道 室蘭市,109766
2000,1205,Hokkaido Muroran-shi,北海道 室蘭市,103278
2005,1205,Hokkaido Muroran-shi,北海道 室蘭市,98372
2010,1205,Hokkaido Muroran-shi,北海道 室蘭市,94535
2015,1205,Hokkaido Muroran-shi,北海道 室蘭市,88564
2020,1205,Hokkaido Muroran-shi,北海道 室蘭市,82383
1980,1206,Hokkaido Kushiro-shi,北海道 釧路市,214694
1985,1206,Hokkaido Kushiro-shi,北海道 釧路市,214541
1990,1206,Hokkaido Kushiro-shi,北海道 釧路市,205639
1995,1206,Hokkaido Kushiro-shi,北海道 釧路市,199323
2000,1206,Hokkaido Kushiro-shi,北海道 釧路市,191739
2005,1206,Hokkaido Kushiro-shi,北海道 釧路市,181516
2010,1206,Hokkaido Kushiro-shi,北海道 釧路市,181169
2015,1206,Hokkaido Kushiro-shi,北海道 釧路市,174742
2020,1206,Hokkaido Kushiro-shi,北海道 釧路市,165077
1980,1207,Hokkaido Obihiro-shi,北海道 帯広市,153861
1985,1207,Hokkaido Obihiro-shi,北海道 帯広市,162932
1990,1207,Hokkaido Obihiro-shi,北海道 帯広市,167384
1995,1207,Hokkaido Obihiro-shi,北海道 帯広市,171715
